Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
HS-P3033A-AM,SUMP PUMP P-3033A MCC SIGNAL (AUTO/MANUAL),OTHER IMAGE TAG,,,SUMP PUMP P-3033A MCC SIGNAL (AUTO/MANUAL),,,,,,,
HS-P3051,,LOCAL PANEL,,,,,,,,,,
HS-P3052,,LOCAL PANEL,,,,,,,,,,
HS-P308A-ST,MAIN LO PUMP P-308A RUN,LOCAL PANEL,,,MAIN LO PUMP P-308A RUN,,,,,,,
HS-P308B-SP,STAND-BY LO PUMP P-308B RUN,LOCAL PANEL,,,STAND-BY LO PUMP P-308B RUN,,,,,,,
HS-P837BM2,P-837A AUX. LUBE OIL PUMP,LOCAL PANEL,Y,,P-837A AUX. LUBE OIL PUMP,,,,,,,C
HS-PDAL583-02-MOS,COMP. PRIMARY SEAL GAS SUPPLY DP(DE),ANALYZER IMAGE TAG,,,COMP. PRIMARY SEAL GAS SUPPLY DP(DE),,,,,,,
HS-PI1314C-MOS,MOS FOR PI-1314C,OTHER IMAGE TAG,,,MOS FOR PI-1314C,,,,,,,
HS-PIC645-U,PERF. CONT. ENABLE/DISABLE SELECTOR,LOCAL PANEL,,,PERF. CONT. ENABLE/DISABLE SELECTOR,,,,,,,
HS-PT2021A-SP,,LOCAL PANEL,,,,,,,,,,
HS-PT305A,PT-305A LOCAL PUSH BUTTON,LOCAL PANEL,,,PT-305A LOCAL PUSH BUTTON,,,,,,,
HS-PT660A-SP,PT-660A LOCAL PUSH BUTTON,LOCAL PANEL,Y,,PT-660A LOCAL PUSH BUTTON,,,,,,,C
HS-R520SD1-1,R-520A SHUTDOWN  1,LOCAL PANEL,,,R-520A SHUTDOWN  1,,,,,,,
HS-R520SD2-1,R-520A SHUTDOWN  2,LOCAL PANEL,,,R-520A SHUTDOWN  2,,,,,,,
PG-236,P-222 DISCH.,PRESSURE GAUGE,Y,,P-222 DISCH.,"4""WW 2051-A12A",WIKA,233.30.100,,7.5,100,C
FT-222,P-246A/B DSCH,DIFF. PRESSURE,Y,,P-246A/B DSCH,"8""PW 2010-B13A-H",Yokogawa,EJA110A,,17,220,A
LIC-214,T-230,FLOW IMAGE TAG,,,T-230,,,,,,,
AI-203,T-230 FEED,ANALYZER IMAGE TAG,,,T-230 FEED,,,,,,,
FY-227,LOW  SELECT(LIC-211&FIC-227),OTHER IMAGE TAG,,,LOW  SELECT(LIC-211&FIC-227),,,,,,,
FT-235,T-230 BLOW DOWN TO E-246,DIFF. PRESSURE,,,T-230 BLOW DOWN TO E-246,"2""IB C2001-B13A-P",Yokogawa,EJA110A,,17,225,
TT-238,T-230 BOTTOM TO P-236A/B,TEMPERATURE TRANSMITTER,Y,,T-230 BOTTOM TO P-236A/B,,Yokogawa,YTA320-EA2DD,,,,A
FT-229,E-242/E-245 S/S INLET,DIFF. PRESSURE,N,,E-242/E-245 S/S INLET,"24""MS2 2030-B12T-H",Yokogawa,EJA110A,,16,350,A
PV-248A,E-242 T/S OUTLET,BUTTERFLY CONTROL VALVE,Y,,E-242 T/S OUTLET,"20""MS2 2030-B12T-H",LEUSCH,LTR43,,16,350,A
LG-217A,D-240,LEVEL GAUGE,Y,,D-240,,Magnetrol,XABC-ACL2-2A0/200,,16,220,C
PI-307,C-300 1ST STAGE DSCH,ANALYZER IMAGE TAG,,,C-300 1ST STAGE DSCH,,,,,,,
PV-301,D-301 OVERHEAD,BUTTERFLY CONTROL VALVE,Y,,D-301 OVERHEAD,"24""WF 3001-A14A",LEUSCH,LTR43,,3.5,121,A
TT-314A,C-300 1ST STAGE DISCHARGE,TEMPERATURE TRANSMITTER,Y,,C-300 1ST STAGE DISCHARGE,,Yokogawa,YTA320-EA2DD,,,,A
FV-301,C-300 3RD STAGE DSCH,BUTTERFLY CONTROL VALVE,Y,,C-300 3RD STAGE DSCH,"20""HV 3013-A41A",LEUSCH,LTR43,,13.3,121,A
LIL-1563,LOCAL LEVEL INDICATOR AT TK-1561,INDICATOR,,,LOCAL LEVEL INDICATOR AT TK-1561,,,,,,,
LI-P227A,P-227A PUMP SEAL LEVEL,ANALYZER IMAGE TAG,,,P-227A PUMP SEAL LEVEL,,,,,,,
LI-P326A,P-326A PUMP SEAL LEVEL,ANALYZER IMAGE TAG,,,P-326A PUMP SEAL LEVEL,,,,,,,
LI-P526A,P-526A PUMP SEAL LEVEL,ANALYZER IMAGE TAG,,,P-526A PUMP SEAL LEVEL,,,,,,,
LI-P820B02,P-820B DEPENTANIZER REFLUX PUMPS,ANALYZER IMAGE TAG,,,,,,,,,,
LI-P826A04,P-826A DEPENTAIZER BOTTOM PUMPS,ANALYZER IMAGE TAG,,,,,,,,,,
LI-P826B02,P-826B DEPENTAIZER BOTTOM PUMPS,ANALYZER IMAGE TAG,,,,,,,,,,
LT-1010D,BUFFER LIQUID LEVEL,HYDROSTATIC HEAD,,,BUFFER LIQUID LEVEL,,Yokogawa,Note : 1,,42.2,85,
LT-101C-A,Steamdrum,MAGNETOSTRICTIVE,Y,,Steamdrum,"1""BFW 1C06-F13T-H",K-TEK,KM26S,,148,341,B
LT-101C-AY,Steamdrum,LEVEL IMAGE TAG,Y,,Steamdrum,,,,,,,B
LT-101D-AY,Steamdrum,LEVEL IMAGE TAG,Y,,Steamdrum,,,,,,,B
LT-101E-A,Steamdrum,MAGNETOSTRICTIVE,Y,,Steamdrum,"1""BFW 1E06-F13T-H",K-TEK,KM26S,,148,341,B
LT-1316,PROPYLENE PUMP,HYDROSTATIC HEAD,,,PROPYLENE PUMP,,*,Note : 1,,,,
LT-1540B,BUFFER LIQUID LEVEL,HYDROSTATIC HEAD,,,BUFFER LIQUID LEVEL,,Yokogawa,Note : 1,,10,80,
LT-1560B,BUFFER LIQUID LEVEL,HYDROSTATIC HEAD,,,BUFFER LIQUID LEVEL,,*,Note : 1,,,,
LT-2606B,WATER SEAL DRUM,GUIDED WAVE RADAR,,,WATER SEAL DRUM,,CHEIL,,,3.5,120,
LT-622B-Z,D-661 LEVEL,LEVEL IMAGE TAG,,,D-661 LEVEL,,,,,,,
LT-622C-Z,D-661 LEVEL,LEVEL IMAGE TAG,,,D-661 LEVEL,,,,,,,
LT-623C-Z,D-663 LEVEL,LEVEL IMAGE TAG,,,D-663 LEVEL,,,,,,,
HS-R760B-SDA1,"LOGIC Z-7603/7604,R-760B  S/D IN CCR",LOCAL PANEL,,,"LOGIC Z-7603/7604,R-760B  S/D IN CCR",,,,,,,
HS-R760B-SDA2,"LOGIC Z-7603/7604,R-760B  S/D IN CCR",LOCAL PANEL,,,"LOGIC Z-7603/7604,R-760B  S/D IN CCR",,,,,,,
HS-R760B-SDB,,LOCAL PANEL,,,,,,,,,,
HS-SAHH394B-MOS,CT-300 TURNING GEAR ENGAGED,OTHER IMAGE TAG,,,CT-300 TURNING GEAR ENGAGED,,,,,,,
HS-TK1010B,TANK SELECTION SWITCH FOR TK-1010B,OTHER IMAGE TAG,,,TANK SELECTION SWITCH FOR TK-1010B,,,,,,,
HSX-301B-OP,HV-301 OPEN SWITCH IN FIELD,OTHER ANALYZER,,,HV-301 OPEN SWITCH IN FIELD,,,,,,,
HSX-514B,HV-514 CLOSE SWITCH IN FIELD,OTHER ANALYZER,,,HV-514 CLOSE SWITCH IN FIELD,,,,,,,
HSX-611B,HV-611 CLOSE SWITCH IN FIELD,OTHER ANALYZER,,,HV-611 CLOSE SWITCH IN FIELD,,,,,,,
HSX-7674-LP,H-760 LP,OTHER ANALYZER,,,H-760 LP,,,,,,,
HSX-7683-LP,PURGE START,OTHER ANALYZER,,,PURGE START,,,,,,,
HSX-8010B,D-802 OVHD TO FLARE,OTHER ANALYZER,,,D-802 OVHD TO FLARE,,,,,,,
HSX-8310B1,GHU-2 HEATER,OTHER ANALYZER,,,GHU-2 HEATER,,,,,,,
HSX-C300SD-B3,C-300 SHUTDOWN SWITCH IN LOCAL,OTHER ANALYZER,,,C-300 SHUTDOWN SWITCH IN LOCAL,,,,,,,
HSX-C560-11,TURBINE TRIP SOV TEST EXECUTE PB,OTHER ANALYZER,,,TURBINE TRIP SOV TEST EXECUTE PB,,,,,,,
HSX-C560SD-B2,C-560 SHUTDOWN SWITCH IN LOCAL,OTHER ANALYZER,,,C-560 SHUTDOWN SWITCH IN LOCAL,,,,,,,
HSX-H761P-RS,H-761 PILOT BURNER RESET,OTHER ANALYZER,,,H-761 PILOT BURNER RESET,,,,,,,
HSX-H761-SDB3,H-761 S/D  SWITCH IN FIELD,OTHER ANALYZER,,,H-761 S/D  SWITCH IN FIELD,,,,,,,
HSX-PSA-SD-2,PSA SHUTDOWN SWITCH IN CCR,OTHER ANALYZER,,,PSA SHUTDOWN SWITCH IN CCR,,,,,,,
HSX-R720-SD3,"LOGIC Z-7201, R-720A  SHUTDOWN IN CCR",OTHER ANALYZER,,,"LOGIC Z-7201, R-720A  SHUTDOWN IN CCR",,,,,,,
HSX-R730-SD2,"LOGIC Z-7301, R-730  SHUTDOWN IN CCR",OTHER ANALYZER,,,"LOGIC Z-7301, R-730  SHUTDOWN IN CCR",,,,,,,
LT-P201B,P-201B PUMP SEAL LEVEL,HYDROSTATIC HEAD,Y,,P-201B PUMP SEAL LEVEL,,,,,,,A
LT-P206C1,P-206C PUMP SEAL LEVEL (NDE),HYDROSTATIC HEAD,Y,,P-206C PUMP SEAL LEVEL (NDE),,,,,,,A
LT-P227A,P-227A PUMP SEAL LEVEL,HYDROSTATIC HEAD,Y,,P-227A PUMP SEAL LEVEL,,,,,,,A
LT-P326A,P-326A PUMP SEAL LEVEL,HYDROSTATIC HEAD,Y,,P-326A PUMP SEAL LEVEL,,,,,,,A
LT-P820A01,P-820A DEPENTANIZER REFLUX PUMPS,HYDROSTATIC HEAD,N,,P-820A DEPENTANIZER REFLUX PUMPS,,,,,,,B
LT-P820A04,P-820A DEPENTANIZER REFLUX PUMPS,HYDROSTATIC HEAD,N,,P-820A DEPENTANIZER REFLUX PUMPS,,,,,,,B
LTX-307C,D-303 LEVEL,OTHER ANALYZER,,,D-303 LEVEL,,,,,,,
LTX-318C,D-305 LEVEL,OTHER ANALYZER,,,D-305 LEVEL,,,,,,,
LTX-520A,D-561 LEVEL,OTHER ANALYZER,,,D-561 LEVEL,,,,,,,
LTX-635A,D-664 LEVEL,OTHER ANALYZER,,,D-664 LEVEL,,,,,,,
LTX-8001,D-800 GHU-1 FEED DRUM,OTHER ANALYZER,,,D-800 GHU-1 FEED DRUM,,,,,,,
LV-2014X-A,Recovery water to c.w. basin,GLOBE CONTROL VALVE,Y,,Recovery water to c.w. basin,"3""MC2-0053-B12A",Samson,241-7,,21,240,B
LV-360B-S,E-300,GLOBE CONTROL VALVE,,,E-300,,,,,,,
LV-360BX,E-300,GLOBE CONTROL VALVE,,,E-300,"6""TSC 3009-A12A",SAMSON,241-1,,8.5,80,
LX-307A,D-303 LEVEL,FLOW IMAGE TAG,,,D-303 LEVEL,,,,,,,
LX-520A,D-561 LEVEL,FLOW IMAGE TAG,,,D-561 LEVEL,,,,,,,
LX-622A,D-661 LEVEL,FLOW IMAGE TAG,,,D-661 LEVEL,,,,,,,
LX-622C,D-661 LEVEL,FLOW IMAGE TAG,,,D-661 LEVEL,,,,,,,
LY-101A-B,Steamdrum,OTHER INSTRUMENT,Y,,Steamdrum,,,,,,,C
LY-101D-A,Steamdrum,OTHER INSTRUMENT,Y,,Steamdrum,,,,,,,C
HS-R760B,R760A OPER./REGEN MODE SELECTION,LOCAL PANEL,,,R760A OPER./REGEN MODE SELECTION,,,,,,,
HS-R830SD2-C1,R-830 SHUTDOWN,OTHER IMAGE TAG,,,R-830 SHUTDOWN,,,,,,,
HS-TM-660-SP,TURNING MOTOR STOP,LOCAL PANEL,,,TURNING MOTOR STOP,,,,,,,
HSX-340B,P-3402 SUCTION,OTHER ANALYZER,,,P-3402 SUCTION,,,,,,,
HSX-511B,HV-511 CLOSE SWITCH IN FIELD,OTHER ANALYZER,,,HV-511 CLOSE SWITCH IN FIELD,,,,,,,
HSX-8300C1,D-833 OUT TOP,OTHER ANALYZER,,,D-833 OUT TOP,,,,,,,
HS-XA673A-MOS,"CT-660 GOV. TRIP SIGNAL OUT(2OO3,XA673A/B/C)",OTHER IMAGE TAG,,,"CT-660 GOV. TRIP SIGNAL OUT(2OO3,XA673A/B/C)",,,,,,,
HS-XAPWRM-MOS,MOS FOR XAPWRM,OTHER IMAGE TAG,,,MOS FOR XAPWRM,,,,,,,
HSX-C300SD-A1,C-300 SHUTDOWN SWITCH IN CCR,OTHER ANALYZER,,,C-300 SHUTDOWN SWITCH IN CCR,,,,,,,
HSX-C460SD-B1,C-460 SHUTDOWN SWITCH IN LOCAL,OTHER ANALYZER,,,C-460 SHUTDOWN SWITCH IN LOCAL,,,,,,,
HSX-C560SD-A1,C-560 SHUTDOWN SWITCH IN CCR,OTHER ANALYZER,,,C-560 SHUTDOWN SWITCH IN CCR,,,,,,,
HSX-C660SD-A1,C-660 SHUTDOWN SWITCH IN CCR,OTHER ANALYZER,,,C-660 SHUTDOWN SWITCH IN CCR,,,,,,,
HSX-PSA-SD-3,PSA SHUTDOWN SWITCH IN CCR,OTHER ANALYZER,,,PSA SHUTDOWN SWITCH IN CCR,,,,,,,
HSX-R720-SD2,"LOGIC Z-7201, R-720A  SHUTDOWN IN CCR",OTHER ANALYZER,,,"LOGIC Z-7201, R-720A  SHUTDOWN IN CCR",,,,,,,
HS-XV1014-OP/CL,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1014,OTHER IMAGE TAG,,,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1014,,,,,,,
HS-XV116A-CL,Close transfer line valve,LOCAL PANEL,Y,,Close transfer line valve,,,,,,,C
HS-XV116F-CL,Close transfer line valve,LOCAL PANEL,Y,,Close transfer line valve,,,,,,,C
HS-XV116G-OP,Open  transfer line valve,LOCAL PANEL,Y,,Open  transfer line valve,,,,,,,C
HS-XV117A-OP,Open decoke effluent valve,LOCAL PANEL,Y,,Open decoke effluent valve,,,,,,,C
HS-SAHH594B-MOS,GOV. SPEED PICK-UP HH BYPASS,OTHER IMAGE TAG,,,GOV. SPEED PICK-UP HH BYPASS,,,,,,,
HS-TI1218-MOS,MOS FOR TI-1218,OTHER IMAGE TAG,,,MOS FOR TI-1218,,,,,,,
HS-TK1420,TANK SELECTION SOFT SW.FOR ISO-BUTYLENE TANK TK-1420,OTHER IMAGE TAG,,,TANK SELECTION SOFT SW.FOR ISO-BUTYLENE TANK TK-1420,,,,,,,
HSX-1601B,FIRE WATER SUPPLY TO FOAM TANK,OTHER ANALYZER,,,FIRE WATER SUPPLY TO FOAM TANK,,,,,,,
HSX-301B-CL,HV-301 CLOSE SWITCH IN FIELD,OTHER ANALYZER,,,HV-301 CLOSE SWITCH IN FIELD,,,,,,,
HSX-404B,C-460 DISCHARGE,OTHER ANALYZER,,,C-460 DISCHARGE,,,,,,,
HSX-7685-LP,MAIN FUEL GAS BURNER  START,OTHER ANALYZER,,,MAIN FUEL GAS BURNER  START,,,,,,,
HSX-8300C3,D-833 OUT TOP,OTHER ANALYZER,,,D-833 OUT TOP,,,,,,,
HS-XA373C-MOS,CT-300 GOV. SPEED PICK-UP HH,OTHER IMAGE TAG,,,CT-300 GOV. SPEED PICK-UP HH,,,,,,,
HSX-C300SD-A3,C-300 SHUTDOWN SWITCH IN CCR,OTHER ANALYZER,,,C-300 SHUTDOWN SWITCH IN CCR,,,,,,,
HSX-C300SD-B2,C-300 SHUTDOWN SWITCH IN LOCAL,OTHER ANALYZER,,,C-300 SHUTDOWN SWITCH IN LOCAL,,,,,,,
HSX-H760-SDB3,H-760 LP,OTHER ANALYZER,,,H-760 LP,,,,,,,
HSX-H761-SDA3,H-761 S/D,OTHER ANALYZER,,,H-761 S/D,,,,,,,
HSX-R760B-SDA1,"LOGIC Z-7603/7604,R-760A  S/D IN CCR",OTHER ANALYZER,,,"LOGIC Z-7603/7604,R-760A  S/D IN CCR",,,,,,,
HS-XV107X-CL-A,Close steam curtain valve,LOCAL PANEL,Y,,Close steam curtain valve,,,,,,,C
HS-XV116F-OP,Open  transfer line valve,LOCAL PANEL,Y,,Open  transfer line valve,,,,,,,C
HS-XV1212A-OP/CL,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1212A,OTHER IMAGE TAG,,,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1212A,,,,,,,
HS-XV1214B-OP/CL,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1214B,OTHER IMAGE TAG,,,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1214B,,,,,,,
HS-XV1522-OP/CL,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1522,OTHER IMAGE TAG,,,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1522,,,,,,,
HS-8306C2,D-833 OUT TOP,LOCAL PANEL,,,D-833 OUT TOP,,,,,,,
HS-8352-ST,C-835B GHU-2 RECYCLE GAS COMPRESSOR,LOCAL PANEL,Y,,C-835B GHU-2 RECYCLE GAS COMPRESSOR,,,,,,,C
HS-8902A,D-890 OUTLET,OTHER IMAGE TAG,,,D-890 OUTLET,,,,,,,
HSA-C300SD-A,C-300 SHUTDOWN SWITCH IN CCR,ANALYZER IMAGE TAG,,,C-300 SHUTDOWN SWITCH IN CCR,,,,,,,
HS-AH01-AT,,LOCAL PANEL,,,,,,,,,,
HS-AH01-RS,,LOCAL PANEL,,,,,,,,,,
HS-AH03-MC1,,OTHER ANALYZER,,,,,,,,,,
HS-AH05-OPS,,OTHER IMAGE TAG,,,,,,,,,,
HS-AH08-RS-1,,OTHER IMAGE TAG,,,,,,,,,,
HS-AH12-RS,AH-12,OTHER IMAGE TAG,N,,AH-12,,,,,,,C
HS-AH3-PUR,PURGED EQUIPMENT SW.,OTHER ANALYZER,,,PURGED EQUIPMENT SW.,,,,,,,
HS-AH3-RS-B,ALARM RESET BUTTON,OTHER IMAGE TAG,,,ALARM RESET BUTTON,,,,,,,
HS-AH4-MC2,MANUAL CALL POINT #2 SW.,OTHER ANALYZER,,,MANUAL CALL POINT #2 SW.,,,,,,,
HS-AH4-PUR,PURGED EQUIPMENT SW.,OTHER ANALYZER,,,PURGED EQUIPMENT SW.,,,,,,,
HSA-H760-SDB,H-760 LP,ANALYZER IMAGE TAG,,,H-760 LP,,,,,,,
HS-AH7-FPW,POWER SUPPLY TO FAN,OTHER ANALYZER,,,POWER SUPPLY TO FAN,,,,,,,
HS-AH8-MC1,MANUAL CALL POINT #1 SW.,OTHER ANALYZER,,,MANUAL CALL POINT #1 SW.,,,,,,,
HS-AH8-SD,ESD BUTTON,OTHER ANALYZER,,,ESD BUTTON,,,,,,,
HS-AT303C-ST3,AT-303C-03 STREAM SELECTION,OTHER IMAGE TAG,,,AT-303C-03 STREAM SELECTION,,,,,,,
HS-C130A-SP,Decoke C-130A Stop,OTHER IMAGE TAG,Y,,Decoke C-130A Stop,,,,,,,C
HS-C300-12A,TURBINE TRIP SOV TEST MODE SELECTOR,LOCAL PANEL,,,TURBINE TRIP SOV TEST MODE SELECTOR,,,,,,,
HS-C300LP-ACK,ACKNOWLEDGE SILENCE BUTTON IN LP,OTHER ANALYZER,,,ACKNOWLEDGE SILENCE BUTTON IN LP,,,,,,,
HS-C3200B-RS,C-3200B RESET,OTHER IMAGE TAG,,,C-3200B RESET,,,,,,,
II-P1410,RAW C4'S FEED PUMP P-1410 MCC SIGNAL (CURRENT),MOTOR SIGNAL,,,RAW C4'S FEED PUMP P-1410 MCC SIGNAL (CURRENT),,,,,,,
II-P831A,P-831A GHU-2 QUENCH PUMP,MOTOR SIGNAL,,,P-831A GHU-2 QUENCH PUMP,,,,,,,
II-P860B,P-860B EDC REFLUX PUMP,MOTOR SIGNAL,,,P-860B EDC REFLUX PUMP,,,,,,,
II-P871B,P-871B SRC WATER PUMP,MOTOR SIGNAL,,,P-871B SRC WATER PUMP,,,,,,,
IS-8380A,C-835A PURGE KIT,PRESSURE SWITCH,,,C-835A PURGE KIT,,,,,,,
IS-8380B,C-835B GHU-2 RECYCLE GAS COMP,PRESSURE SWITCH,,,C-835B GHU-2 RECYCLE GAS COMP,,,,,,,
JI-E831B,EM-831B GHU-2 EFFLUENT AIR CONDENSER,TORQUE & POWER,,,EM-831B GHU-2 EFFLUENT AIR CONDENSER,,,,,,,
JI-E863B,EM-863B LEAN SOLVENT COOLER,TORQUE & POWER,,,EM-863B LEAN SOLVENT COOLER,,,,,,,
JI-P811A,P-811A C5 PRODUCT PUMPS,TORQUE & POWER,,,P-811A C5 PRODUCT PUMPS,,,,,,,
JI-P820A,P-820A DEDECTANIZER REFLUX PUMP,TORQUE & POWER,,,P-820A DEDECTANIZER REFLUX PUMP,,,,,,,
JI-P831A,P-831A GHU-2 QUENCH PUMP,TORQUE & POWER,,,P-831A GHU-2 QUENCH PUMP,,,,,,,
JI-P831B,P-831B GHU-2 QUENCH PUMP,TORQUE & POWER,,,P-831B GHU-2 QUENCH PUMP,,,,,,,
JI-P846A,P-846A STABILIZER BOTTOM PUMP,TORQUE & POWER,,,P-846A STABILIZER BOTTOM PUMP,,,,,,,
JI-P850A,P-850A DEOCTANIZER REFLUX PUMP,TORQUE & POWER,,,P-850A DEOCTANIZER REFLUX PUMP,,,,,,,
JI-P876B,P-876B SRC BOTTOM PUMP,TORQUE & POWER,,,P-876B SRC BOTTOM PUMP,,,,,,,
JI-P896B,P-896B TOLUENE BOTTOM PUMP,TORQUE & POWER,,,P-896B TOLUENE BOTTOM PUMP,,,,,,,
LAH-3204,D-3202,ANALYZER IMAGE TAG,,,D-3202,,,,,,,
LAH-3218,TK-3200,ANALYZER IMAGE TAG,,,TK-3200,,,,,,,
LAH-324,T-320,ANALYZER IMAGE TAG,,,T-320,,,,,,,
LAH-351,D-386,ANALYZER IMAGE TAG,,,D-386,,,,,,,
LAH-406,D-412,ANALYZER IMAGE TAG,,,D-412,,,,,,,
HS-R520SD2-3,R-520A SHUTDOWN  2,LOCAL PANEL,,,R-520A SHUTDOWN  2,,,,,,,
HS-R730-SD1,"LOGIC Z-7301, R-730  SHUTDOWN IN CCR",LOCAL PANEL,,,"LOGIC Z-7301, R-730  SHUTDOWN IN CCR",,,,,,,
HS-R730-SD3,"LOGIC Z-7301, R-730  SHUTDOWN IN CCR",LOCAL PANEL,,,"LOGIC Z-7301, R-730  SHUTDOWN IN CCR",,,,,,,
HS-R760A-SDB,,LOCAL PANEL,,,,,,,,,,
HS-R800SD1-C1,R-800 SHUTDOWN,LOCAL PANEL,,,R-800 SHUTDOWN,,,,,,,
HS-SAHH594A-MOS,GOV. SPEED PICK-UP HH BYPASS,OTHER IMAGE TAG,,,GOV. SPEED PICK-UP HH BYPASS,,,,,,,
HS-TM-660-ST,TURNING MOTOR START,LOCAL PANEL,,,TURNING MOTOR START,,,,,,,
HSX-513B,HV-513 CLOSE SWITCH IN FIELD,OTHER ANALYZER,,,HV-513 CLOSE SWITCH IN FIELD,,,,,,,
HSX-610B,HV-610 CLOSE SWITCH IN FIELD,OTHER ANALYZER,,,HV-610 CLOSE SWITCH IN FIELD,,,,,,,
HSX-7802,T-780 DEPROPYLENIZER S/D IN CCR,OTHER ANALYZER,,,T-780 DEPROPYLENIZER S/D IN CCR,,,,,,,
HSX-8303B,C-835A INLET,OTHER ANALYZER,,,C-835A INLET,,,,,,,
HSX-8304B,GHU-2 VENT GAS TO ORU (OSBL),OTHER ANALYZER,,,GHU-2 VENT GAS TO ORU (OSBL),,,,,,,
HS-XA373A-MOS,CT-300 GOV. SPEED PICK-UP HH,OTHER IMAGE TAG,,,CT-300 GOV. SPEED PICK-UP HH,,,,,,,
HSX-C300SD-A2,C-300 SHUTDOWN SWITCH IN CCR,OTHER ANALYZER,,,C-300 SHUTDOWN SWITCH IN CCR,,,,,,,
HSX-C300SD-B1,C-300 SHUTDOWN SWITCH IN LOCAL,OTHER ANALYZER,,,C-300 SHUTDOWN SWITCH IN LOCAL,,,,,,,
HSX-C460SD-B2,C-460 SHUTDOWN SWITCH IN LOCAL,OTHER ANALYZER,,,C-460 SHUTDOWN SWITCH IN LOCAL,,,,,,,
HSX-H760P-RS,H-760 LP,OTHER ANALYZER,,,H-760 LP,,,,,,,
HSX-P308A-ST,MAIN LO PUMP P-308A RUN,OTHER ANALYZER,,,MAIN LO PUMP P-308A RUN,,,,,,,
HSX-R720-SD1,"LOGIC Z-7201, R-720A  SHUTDOWN IN CCR",OTHER ANALYZER,,,"LOGIC Z-7201, R-720A  SHUTDOWN IN CCR",,,,,,,
HS-XV107X-CL-B,Close steam curtain valve,LOCAL PANEL,Y,,Close steam curtain valve,,,,,,,C
LT-631C,D-663 LEVEL,HYDROSTATIC HEAD,N,,D-663 LEVEL,,Yokogawa,EJX110A,,17.8,-20,A
LT-631C-1,D-663 LEVEL,LEVEL IMAGE TAG,,,D-663 LEVEL,,,,,,,
LT-635B,D-664 LEVEL,HYDROSTATIC HEAD,N,,D-664 LEVEL,,Yokogawa,EJX110A,,17.8,-45,A
LT-680-02,OIL RESERVOIR,GUIDED WAVE RADAR,N,,OIL RESERVOIR,,Endress+Houser,,,,,C
LT-681-01,LO RUN DOWN TANK,HYDROSTATIC HEAD,N,,LO RUN DOWN TANK,,,,,,,C
LT-7301A-Y,D-730,DIFF. PRESSURE,,,D-730,,,,,,,
LT-8005B-Y,D-801 HOT SEPARATOR DRUM,LEVEL IMAGE TAG,,,D-801 HOT SEPARATOR DRUM,,,,,,,
LT-8565,P-856B SEAL PLAN,HYDROSTATIC HEAD,N,,P-856B SEAL PLAN,,,,,,,B
LT-8706C-Z,D-871 EJECTOR CONDENSATE DRUM,LEVEL IMAGE TAG,,,D-871 EJECTOR CONDENSATE DRUM,,,,,,,
LT-P201A,P-201A PUMP SEAL LEVEL,HYDROSTATIC HEAD,Y,,P-201A PUMP SEAL LEVEL,,,,,,,A
LT-P206A2,P-206A PUMP SEAL LEVEL (DE),HYDROSTATIC HEAD,Y,,P-206A PUMP SEAL LEVEL (DE),,,,,,,A
LT-P206B2,P-206B PUMP SEAL LEVEL (DE),HYDROSTATIC HEAD,Y,,P-206B PUMP SEAL LEVEL (DE),,,,,,,A
LT-P217A,P-217A PUMP SEAL LEVEL,HYDROSTATIC HEAD,Y,,P-217A PUMP SEAL LEVEL,,,,,,,A
LT-P227B,P-227B PUMP SEAL LEVEL,HYDROSTATIC HEAD,Y,,P-227B PUMP SEAL LEVEL,,,,,,,A
LT-P302A,P-302A PUMP SEAL LEVEL,HYDROSTATIC HEAD,Y,,P-302A PUMP SEAL LEVEL,,,,,,,A
LT-P302B,P-302B PUMP SEAL LEVEL,HYDROSTATIC HEAD,Y,,P-302B PUMP SEAL LEVEL,,,,,,,A
LT-P821A01,P-821A DEPECTANIZER OVERHEAD PRODUCT PUMPS,HYDROSTATIC HEAD,N,,P-821A DEPECTANIZER OVERHEAD PRODUCT PUMPS,,,,,,,B
LTX-305B,D-302 LEVEL,OTHER ANALYZER,,,D-302 LEVEL,,,,,,,
HS-XV1313C-OP/CL,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1313C,OTHER IMAGE TAG,,,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1313C,,,,,,,
HS-XV1422-OP/CL,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1422,OTHER IMAGE TAG,,,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1422,,,,,,,
HS-XV1531-OP/CL,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1531,OTHER IMAGE TAG,,,OPEN/CLOSE COMMAND SOFT SWITCH FOR XV-1531,,,,,,,
