Tag Name,Tag Description,Tag Type,Unit,ABC Class,PSM Critical,Service,Type,Design Temperature (C) ,Design Pressure (kg/cm2g)
P-2402A,CW SIDE STREAM FILTER BACK WASH WASTE WATER PUMP,PUMP,20-CTU,C,,,,,
P-3200B,CAUSTIC MAKE-UP PUMP,PUMP,22-ORU,B,,Caustic Make-up Pump,Centrifugal,,
P-4001B,JOCKEY PUMP,PUMP,20-CTU,,,,,,
D-340,CAUSTIC TOWER FEED K.O. DRUM,DRUM,22-ORU,A,,Caustic Tower Feed K.O. Drum,Vertical,121,13.3
STR-2010B,STRAINER FOR P-2021 A/B/C,STRAINER,20-CTU,B,,,,,
SC-2052,SAMPLE COOLER - DRUM STEAM,SAMPLE COOLER,20-CTU,,,SAMPLE COOLER - DRUM WATER,,80,279
X-2103,SUBMERSIBLE MIXER (SLUDGE STORAGE PIT),MIXER,20-CTU,B,,,,,
C-2201A,DEGASIFIER FAN,FAN,20-CTU,B,,,,,
P-2252A,HCl METERING PUMP II FOR MB,PUMP,20-CTU,B,,,,,
P-2253A,CONDENSATE POLISHER ACID PUMP,PUMP,20-CTU,B,,,,,
P-2413B,SCALE INHIBITOR TYPE 2 PUMP,PUMP,20-CTU,B,,,,,
PT-2400A,TURBINE FOR P-2400A,TURBINE,20-CTU,B,,,,,
TK-2417,98% H2SO4 TANK,TANK,20-CTU,,,,,,
P-2426A,PC191T DOSING  PUMP,PUMP,20-CTU,B,,,,,
D-2802B,INSTRUMENT AIR SURGE DRUM,DRUM,20-CTU,A,,,,,
P-3010C,CPI FEED PUMP,PUMP,20-CTU,,,,,,
P-3010B,CPI FEED PUMP,PUMP,20-CTU,B,,,,,
C-3301A,MIXING BLOWER,BLOWER,20-CTU,C,,,,,
P-1951A,METHANOL PUMP NO 2,PUMP,20-CTU,C,,,,,
STR-4056,Fire Water Strainer,STRAINER,20-CTU,,,,,,
STR-1521,STRAINER FOR P-1520,STRAINER,29-TFU,C,,,,,
STR-1542,STRAINER FOR P-1540B,STRAINER,29-TFU,C,,,,,
STR-2101C,STRAINER FOR P-2101A/B/C,STRAINER,20-CTU,C,,,,,
STR-2103A,STRANER FOR P-2103A/B,STRAINER,20-CTU,C,,,,,
STR-2161B,STRAINER FOR P-2161A/B/C,STRAINER,20-CTU,C,,,,,
STR-2164A,STRAINER FOR P-2164A/B,STRAINER,20-CTU,C,,,,,
STR-2200A,STRAINER FOR P-2200A/B,STRAINER,20-CTU,C,,,,,
STR-2202A,STRAINER FOR P-2202A-B,STRAINER,20-CTU,C,,,,,
STR-2211A,STRAINER FOR P-2211A/B,STRAINER,20-CTU,C,,,,,
STR-2413B,STRAINER FOR P-2413 A/B,STRAINER,20-CTU,C,,,,,
STR-40123,FW Strainer,STRAINER,20-CTU,,,,,,
STR-40142,FW Strainer,STRAINER,20-CTU,,,,,,
STR-40161,FW Strainer,STRAINER,20-CTU,,,,,,
T-2400O,COOLING TOWER,COOLING TOWER,20-CTU,,,,,,
ZZ-100E,GK6 DESUPERHEATER (LIQUID CRACKING FURNACE),DESUPERHEATER,21-CFU,A,,,,,
ZZ-100F,GK6 DESUPERHEATER (LIQUID CRACKING FURNACE),DESUPERHEATER,21-CFU,A,,,,,
STR-2201C,STRAINER FOR P-2201A-D,STRAINER,20-CTU,C,,,,,
STR-2212A,STRAINER FOR P-2212A/B,STRAINER,20-CTU,C,,,,,
STR-2262A,STRAINER FOR P-2262A/B,STRAINER,20-CTU,C,,,,,
STR-2265A,STRAINER FOR P-2265A/B,STRAINER,20-CTU,C,,,,,
STR-2300A,STRAINER FOR P-2300A/B,STRAINER,20-CTU,C,,,,,
STR-2300B,STRAINER FOR P-2300A/B,STRAINER,20-CTU,C,,,,,
STR-2418A,STRAINER FOR P-2418 A/B,STRAINER,20-CTU,,,,,,
STR-4001,Fire Water Strainer,STRAINER,20-CTU,,,,,,
STR-40131,FW Strainer,STRAINER,20-CTU,,,,,,
STR-40151,FW Strainer,STRAINER,20-CTU,,,,,,
STR-4045,Fire Water Strainer,STRAINER,20-CTU,,,,,,
STR-9606,Fire Water Strainer,STRAINER,24-ARU,B,,,,,
TK-2201,DEMINERALIZED WATER TANK,TANK,20-CTU,,,,,,
X-3310D,AERATOR,AERATOR,20-CTU,B,,,,,
z-1010D,TK-1010AB Cabon canister,CANISTER,29-TFU,C,,,,,
DS-2050C,HP STEAM DESUPERHEATER AT BOILER,DESUPERHEATER,20-CTU,B,,HP STEAM DESUPERHEATERS AT BOILER (Inter stage & Final stage),Separate Spray Nozzle,,
C-100A,INDUCED DRAFT FAN (LIQUID CRACKING FURNACE),FAN,21-CFU,A,,,,,
C-2050C-P1A,LUBE OIL PUMP FOR C-2050C,PUMP LUBE OIL,20-CTU,C,,,,,
C-2400E,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
C-2400K,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
D-100F,SHP STEAM DRUM (LIQUID CRACKING FURNACE),DRUM,21-CFU,A,,,,,
DSH-2004A,STEAM DESUPERHEATER,DESUPERHEATER,20-CTU,C,,Steam Desuperheater,,,
DSH-2006,STEAM DESUPERHEATER,DESUPERHEATER,20-CTU,C,,Steam Desuperheater,,,
F-2052C,PFO FILTER FOR BOILER,FILTER,20-CTU,,,,,,
F-2400H,CW SIDE STREAM FILTER,FILTER,20-CTU,,,,,,
P-1441,C4’s transfer pump,PUMP,29-TFU,,,,,,
P-239C,QW/PW PH CONTROL PUMP,PUMP,22-ORU,,,,,,
P-2419B,98% H2S04  PUMP,PUMP,20-CTU,,,,,,
P-2800A-P1A,LUBE OIL PUMP FOR C-2800A,PUMP LUBE OIL,20-CTU,B,,,,,
P-2800C-P1B,LUBE OIL PUMP FOR C-2800C,PUMP LUBE OIL,20-CTU,B,,,,,
P-3011B,CPI SEPARATOR WATER PUMP,PUMP,20-CTU,,,,,,
STR-1411,STRAINER FOR P-1410,STRAINER,29-TFU,B,,,,,
STR-1650,LP Steam Strainer,STRAINER,29-TFU,,,,,,
STR-2061C,BFW Desup FD fan Strainer,STRAINER,20-CTU,,,,,,
STR-2163C,STRAINER FOR P-2163A/B/C,STRAINER,20-CTU,C,,,,,
STR-2170A,STRAINER FOR P-2170A/B,STRAINER,20-CTU,C,,,,,
STR-2201D,STRAINER FOR P-2201A-D,STRAINER,20-CTU,C,,,,,
STR-3071A,STRAINER FOR P-3071A/B,STRAINER,20-CTU,,,,,,
STR-4001A,STRAINER FOR JOCKEY PUMPS,STRAINER,20-CTU,,,,,,
STR-40124,FW Strainer,STRAINER,20-CTU,,,,,,
STR-40132,FW Strainer,STRAINER,20-CTU,,,,,,
V-2050B,HP STEAM S/U VENT SILENCER,SILENCER,20-CTU,,,,,,
C-2400H,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
DSH-2003C,HP STEAM DESUPERHEATER,DESUPERHEATER,20-CTU,,,,,,
DSH-2005,STEAM DESUPERHEATER,DESUPERHEATER,20-CTU,C,,Steam Desuperheater,,,
E-100A2,TRANSFERLINE EXCHANGER (LIQUID CRACKING FURNACES),HEAT EXCHANGER,21-CFU,A,,,,,
F-2102J,DYNASAND FILTRATION SYSTEM,FILTER,20-CTU,,,,,,
P-1530B,AROMATIC EXTRACTION FEED PUMP,PUMP,29-TFU,B,,Aromatic Extract Pump,CENTRIFUGAL (Vertical),,
P-2021B-P1A,LUBE OIL PUMP FOR PM-2021 B,PUMP LUBE OIL,20-CTU,B,,,,,
P-2202F,DEGASIFIER WATER PUMP,PUMP,20-CTU,B,,,,,
P-2418B,ALGAECIDE (N-00005) FEED PUMP,PUMP,20-CTU,,,,,,
P-709B,PYROLYSIS GASOLINE ANTI-OXIDANT PUMP,PUMP,22-ORU,C,,,,,
S-1820,ACTIVATED CARBON ABSORBERS,CANISTER,29-TFU,,,,,,
STR-1532,STRAINER FOR P-1530B,STRAINER,29-TFU,C,,,,,
STR-1611A,CKB TO TRUCK LOADING FILTER,STRAINER,29-TFU,C,,,,,
STR-1613,STRAINER FOR SEJ-1613,STRAINER,29-TFU,C,,,,,
STR-1613A,STRAINER FOR P-1610A,STRAINER,29-TFU,C,,,,,
STR-2101B,STRAINER FOR P-2101A/B/C,STRAINER,20-CTU,C,,,,,
E-755A,DEISOBUTENIZER REBOILER,HEAT EXCHANGER,23-OCU,,,,,,
STR-7503B,HL Strainer,STRAINER,23-OCU,,,,,,
R-760A,OCT REACTORS,REACTOR,23-OCU,,,OCT Reactors,,400 & 600 @ Regen,36.0 & 6.5 @ Regen
P-816B,DEPENTAIZER BOTTOM PUMPS,PUMP,24-ARU,B,,Depentaizer Bottom Pumps,C,,
P-821A,DEDECTANIZER OVERHEAD PRODUCT PUMPS,PUMP,24-ARU,B,,Dedectanizer Overhead Product Pumps,C,,
STR-8401A,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8402B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8500A,HC Strainer,STRAINER,24-ARU,,,,,,
P-871B,SRC WATER PUMPS,PUMP,24-ARU,B,,SRC Water Pumps,C,,
STR-8701B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8703B,Water Strainer,STRAINER,24-ARU,,,,,,
P-886A,BENZENE BOTTOMS PUMPS,PUMP,24-ARU,B,,,,,
DS-2050D,HP STEAM DESUPERHEATER AT BOILER,DESUPERHEATER,20-CTU,B,,HP STEAM DESUPERHEATERS AT BOILER (Inter stage & Final stage),Separate Spray Nozzle,,
DS-2050E,HP STEAM DESUPERHEATER AT BOILER,DESUPERHEATER,20-CTU,B,,HP STEAM DESUPERHEATERS AT BOILER (Inter stage & Final stage),Separate Spray Nozzle,,
C-100B,INDUCED DRAFT FAN (LIQUID CRACKING FURNACE),FAN,21-CFU,A,,,,,
C-2400I,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
R-800B,GHU-I REACTOR,REACTOR,24-ARU,A,,,,,
STR-2164B,STRAINER FOR P-2164A/B,STRAINER,20-CTU,C,,,,,
STR-2414B,STRAINER FOR P-2414 A/B,STRAINER,20-CTU,C,,,,,
STR-308A,WG Strainer,STRAINER,22-ORU,,,,,,
STR-4001B,STRAINER FOR JOCKEY PUMPS,STRAINER,20-CTU,,,,,,
STR-4011A,Fire Water Strainer,STRAINER,20-CTU,B,,,,,
STR-7502B,HL Strainer,STRAINER,23-OCU,,,,,,
STR-9612,Fire Water Strainer,STRAINER,24-ARU,B,,,,,
P-509A,DEETH/DEPRO POLYMERIZATION INHIBITOR PUMP,PUMP,22-ORU,C,,,,,
STR-1441,STRAINER FOR P-1440,STRAINER,29-TFU,C,,,,,
STR-2170B,STRAINER FOR P-2170A/B,STRAINER,20-CTU,C,,,,,
STR-2251A,STRAINER FOR P-2251A/B,STRAINER,20-CTU,C,,,,,
STR-2253A,STRAINER FOR P-2253A/B,STRAINER,20-CTU,C,,,,,
STR-2253B,STRAINER FOR P-2253A/B,STRAINER,20-CTU,C,,,,,
STR-2254B,STRAINER FOR P-2254A/B,STRAINER,20-CTU,C,,,,,
STR-2261A,STRAINER FOR P-2261A/B,STRAINER,20-CTU,C,,,,,
STR-2417A,STRAINER FOR P-2417 A/B,STRAINER,20-CTU,C,,,,,
STR-3074,STRAINER FOR P-3074,STRAINER,20-CTU,,,,,,
STR-308B,WG Strainer,STRAINER,22-ORU,,,,,,
STR-40111,FW Strainer,STRAINER,20-CTU,,,,,,
STR-4051,Fire Water Strainer,STRAINER,20-CTU,B,,,,,
STR-639C,C3R Strainer,STRAINER,22-ORU,B,,,,,
STR-7501B,HL Strainer,STRAINER,23-OCU,,,,,,
STR-8900B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-9607,Fire Water Strainer,STRAINER,24-ARU,B,,,,,
T-2400N,COOLING TOWER,COOLING TOWER,20-CTU,,,,,,
P-1560B,MIXED XYLENE EXPORT PUMP,PUMP,29-TFU,B,,Mix. Xylene Feed Pump,CENTRIFUGAL (Vertical),,
P-2021A-P1B,LUBE OIL PUMP FOR PM-2021 A,PUMP LUBE OIL,20-CTU,B,,,,,
P-2232B,PH CONTROL AGENT PUMP FOR CONDENSATE POLISHER,PUMP,20-CTU,,,,,,
P-34006,CGC WASH GASOLINE PUMP,PUMP,22-ORU,,,,,,
PE-4003D,FIRE PUMP DIESEL ENGINE,DIESEL ENGINE,20-CTU,,,,,,
SK-2640,Enclosed Ground Flare,EGF STACK,20-CTU,,,,,,
STR-1562,STRAINER FOR P-1560B,STRAINER,29-TFU,C,,,,,
STR-2102B,STRAINER FOR P-2102A/B,STRAINER,20-CTU,C,,,,,
STR-2161A,STRAINER FOR P-2161A/B/C,STRAINER,20-CTU,C,,,,,
STR-2211B,STRAINER FOR P-2211A/B,STRAINER,20-CTU,C,,,,,
STR-2254A,STRAINER FOR P-2254A/B,STRAINER,20-CTU,C,,,,,
STR-2418B,STRAINER FOR P-2418 A/B,STRAINER,20-CTU,,,,,,
STR-3052,STRAINER FOR P-3052,STRAINER,20-CTU,C,,,,,
STR-3071B,STRAINER FOR P-3071A/B,STRAINER,20-CTU,,,,,,
STR-3224B,SCS Strainer,STRAINER,22-ORU,,,,,,
STR-3225B,SCS Strainer,STRAINER,22-ORU,,,,,,
STR-4002A,STRAINER FOR MOTOR DRIVEN FIRE WATER PUMP,STRAINER,20-CTU,,,,,,
STR-7502A,HL Strainer,STRAINER,23-OCU,,,,,,
STR-7602,FG Strainer,STRAINER,23-OCU,,,,,,
X-3310B,AERATOR,AERATOR,20-CTU,B,,,,,
ZZ-100D,GK6 DESUPERHEATER (LIQUID CRACKING FURNACE),DESUPERHEATER,21-CFU,A,,,,,
P-856B,DEOCTANIZER BOTTOM PUMPS,PUMP,24-ARU,B,,Deoctanizer Bottom Pumps,C,,
P-870B,SRC REFLUX PUMPS,PUMP,24-ARU,B,,,,,
STR-8702B,Water+HC Strainer,STRAINER,24-ARU,,,,,,
STR-8701A,HC Strainer,STRAINER,24-ARU,,,,,,
P-881A,BENZENE PRODUCT PUMPS,PUMP,24-ARU,B,,,,,
STR-8901B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-1011A,STRAINER FOR P-1010A/B/C/D,STRAINER,29-TFU,C,,,,,
P-3031A,DIVERSION BOX#1 WASTE TRANSFER PUMP,PUMP,20-CTU,C,,,,,
P-3031B,DIVERSION BOX#1 WASTE TRANSFER PUMP,PUMP,20-CTU,C,,,,,
ZM-2163-1,POLYMER PREPARATION MIXER A,MIXER,20-CTU,B,,,,,
DS-2050A,HP STEAM DESUPERHEATER AT BOILER,DESUPERHEATER,20-CTU,B,,HP STEAM DESUPERHEATERS AT BOILER (Inter stage & Final stage),Separate Spray Nozzle,,
STR-2020B,STRAINER FOR DEARATOR,STRAINER,20-CTU,B,,STRAINER TO DEAERATOR,Basket,14,150
C-2400M,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
P-1561B,MIXED XYLENE TRUCK LOADING PUMP,PUMP,29-TFU,B,,Mix. Xylene Export Pumps,CENTRIFUGAL(Horizontal),,
P-269C,CHEMICAL INJECTION PUMP,PUMP,22-ORU,,,,,,
P-2800A-P1B,LUBE OIL PUMP FOR C-2800A,PUMP LUBE OIL,20-CTU,B,,,,,
P-509B,DEETH/DEPRO POLYMERIZATION INHIBITOR PUMP,PUMP,22-ORU,C,,,,,
PIT-4001,FIRE WATER POND 1,PIT AND BASIN,20-CTU,,,,,,
STR-1612A,CKB TO BOILER FILTER,STRAINER,29-TFU,C,,,,,
STR-2103B,STRANER FOR P-2103A/B,STRAINER,20-CTU,C,,,,,
STR-2201B,STRAINER FOR P-2201A-D,STRAINER,20-CTU,C,,,,,
STR-2205A,STRAINER FOR P-2205A/B,STRAINER,20-CTU,C,,,,,
STR-2262B,STRAINER FOR P-2262A/B,STRAINER,20-CTU,C,,,,,
STR-2265B,STRAINER FOR P-2265A/B,STRAINER,20-CTU,C,,,,,
STR-2415B,STRAINER FOR P-2415 A/B,STRAINER,20-CTU,C,,,,,
STR-308C,WG Strainer,STRAINER,22-ORU,,,,,,
STR-311A,WG Strainer,STRAINER,22-ORU,,,,,,
STR-40152,FW Strainer,STRAINER,20-CTU,,,,,,
STR-9614,Fire Water Strainer,STRAINER,24-ARU,B,,,,,
z-1010B,TK-1010AB Cabon canister,CANISTER,29-TFU,C,,,,,
ZZ-101F,GK6 SHP STEAM START-UP SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
ZZ-103F,GK6 STEAMDRUM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
P-4000A,WATER RECOVERY,PUMP,20-CTU,C,,,,,
ZZ-122R,SMK EXPORT SHP STEAM RELIEF VALVE SILENCER (RECYCLE GAS CRACKING FURNACE),SILENCER,21-CFU,,,,,,
STR-206,PO Strainer,STRAINER,22-ORU,,,,,,
P-217C,PYROLYSIS FUEL OIL PRODUCT PUMP,PUMP,22-ORU,A,,Pyrolysis Fuel Oil Product Pump,Centrifugal,,
STR-209A,HL Strainer,STRAINER,22-ORU,,,,,,
STR-208B,QW Strainer,STRAINER,22-ORU,,,,,,
STR-222B,BFW Strainer,STRAINER,22-ORU,,,,,,
STR-330B,LC1 Strainer,STRAINER,22-ORU,,,,,,
STR-330A,LC1 Strainer,STRAINER,22-ORU,,,,,,
STR-318B,LC2 Strainer,STRAINER,22-ORU,,,,,,
STR-406,H Strainer,STRAINER,22-ORU,A,,,,,
STR-405,HV Strainer,STRAINER,22-ORU,A,,,,,
STR-409,HV Strainer,STRAINER,22-ORU,A,,,,,
STR-422A,HV Strainer,STRAINER,22-ORU,,,,,,
STR-503A,LC1 Strainer,STRAINER,22-ORU,C,,,,,
STR-603A,HL Strainer,STRAINER,22-ORU,B,,,,,
T-650,C3 TOWER NO. 3,TOWER,22-ORU,A,,,,,
STR-613A,C3R Strainer,STRAINER,22-ORU,,,,,,
STR-711B,BFW Strainer,STRAINER,22-ORU,,,,,,
STR-703A,C4 Strainer,STRAINER,22-ORU,C,,,,,
STR-360A,TSC Strainer,STRAINER,22-ORU,,,,,,
STR-660B,TSC Strainer,STRAINER,22-ORU,B,,,,,
STR-3201A,HL Strainer,STRAINER,22-ORU,,,,,,
P-3204,SPENT CAUSTIC OILY DRAIN TRANSFER PUMP,PUMP,22-ORU,A,,,,,
STR-3222B,SCS Strainer,STRAINER,22-ORU,,,,,,
P-719B,TBC INJECTION PUMPS,PUMP,23-OCU,,,,,,
P-811A,C5 PRODUCT PUMPS,PUMP,24-ARU,B,,C5 Product Pumps,C,,
STR-8103A,HC Strainer,STRAINER,24-ARU,,,,,,
ZZ-102F,GK6 EXPORT SHP STEAM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
P-509C,DEETH/DEPRO POLYMERIZATION INHIBITOR PUMP,PUMP,22-ORU,C,,,,,
PE-4003A,FIRE PUMP DIESEL ENGINE,DIESEL ENGINE,20-CTU,,,,,,
PIT-4003,FIRE WATER POND 3,PIT AND BASIN,20-CTU,,,,,,
SEJ-2200B,EJECTOR,EJECTOR,20-CTU,,,,,,
STR-1311C,STRAINER FOR P-1310A/B/C,STRAINER,29-TFU,B,,,,,
STR-1516,STRAINER FOR P-1516,STRAINER,29-TFU,C,,,,,
STR-1531,STRAINER FOR P-1530A,STRAINER,29-TFU,C,,,,,
STR-1541,STRAINER FOR P-1540A,STRAINER,29-TFU,C,,,,,
STR-1613B,STRAINER FOR P-1610B,STRAINER,29-TFU,B,,,,,
STR-1623A,STRAINER FOR P-1620A,STRAINER,29-TFU,B,,,,,
STR-2100B,STRAINER FOR P-2100A/B,STRAINER,20-CTU,C,,,,,
STR-2101A,STRAINER FOR P-2101A/B/C,STRAINER,20-CTU,C,,,,,
STR-2163B,STRAINER FOR P-2163A/B/C,STRAINER,20-CTU,C,,,,,
STR-2201A,STRAINER FOR P-2201A-D,STRAINER,20-CTU,C,,,,,
STR-2271A,STRIANER FOR P-2271A/B,STRAINER,20-CTU,C,,,,,
STR-2271B,STRIANER FOR P-2271A/B,STRAINER,20-CTU,C,,,,,
STR-2410B,STRAINER FOR P-2410 A/B,STRAINER,20-CTU,C,,,,,
STR-3082B,STRAINER FOR P-3082A/B,STRAINER,20-CTU,,,,,,
STR-309A,WG Strainer,STRAINER,22-ORU,,,,,,
STR-312A,WG Strainer,STRAINER,22-ORU,,,,,,
STR-312B,WG Strainer,STRAINER,22-ORU,,,,,,
STR-3224A,SCS Strainer,STRAINER,22-ORU,,,,,,
STR-3225A,SCS Strainer,STRAINER,22-ORU,,,,,,
STR-4010A,Fire Water Strainer,STRAINER,20-CTU,,,,,,
STR-40122,FW Strainer,STRAINER,20-CTU,,,,,,
STR-40153,FW Strainer,STRAINER,20-CTU,,,,,,
STR-4055,Fire Water Strainer,STRAINER,20-CTU,,,,,,
STR-639D,C3R Strainer,STRAINER,22-ORU,B,,,,,
P-826B,DEDECTANIZER BOTTOM PUMPS,PUMP,24-ARU,B,,Dedectanizer Bottom Pumps,C,,
T-820,DEDECTANIZER TOWER,TOWER,24-ARU,C,,Dedectanizer Tower,,"3400 /
2850",3.7 / FV
STR-8600A,HC Strainer,STRAINER,24-ARU,,,,,,
P-860B,EDC REFLUX PUMPS,PUMP,24-ARU,B,,EDC Reflux Pumps,C,,
P-872B,WATER SURGE PUMPS,PUMP,24-ARU,B,,,,,
STR-8707,Solvent Strainer,STRAINER,24-ARU,,,,,,
E-879A,WET SOLVENT COOLER,HEAT EXCHANGER,24-ARU,B,,Wet Solvent Cooler,,,
P-896B,TOLUENE BOTTOMS PUMPS,PUMP,24-ARU,B,,,,,
STR-8901A,HC Strainer,STRAINER,24-ARU,,,,,,
STR-1563,STRAINER FOR P-1561A,STRAINER,29-TFU,C,,,,,
C-100D,INDUCED DRAFT FAN (LIQUID CRACKING FURNACE),FAN,21-CFU,A,,,,,
C-2050B-P1A,LUBE OIL PUMP FOR CM-2050B,PUMP LUBE OIL,20-CTU,C,,,,,
C-2203B,NEUTRALIZATION BLOWER,BLOWER,22-ORU,B,,,,,
DSH-2003D,HP STEAM DESUPERHEATER,DESUPERHEATER,20-CTU,,,,,,
E-100G2,TRANSFERLINE EXCHANGER (LIQUID CRACKING FURNACES),HEAT EXCHANGER,21-CFU,A,,,,,
E-120R2,TRANSFERLINE EXCHANGER (RECYCLE GAS CRACKING FURNACE),HEAT EXCHANGER,21-CFU,A,,,,,
X-3074,COAGULATION TANK MIXER,MIXER,20-CTU,,,,,,
z-1010A,TK-1010AB Cabon canister,CANISTER,29-TFU,C,,,,,
ZZ-100A,GK6 DESUPERHEATER (LIQUID CRACKING FURNACE),DESUPERHEATER,21-CFU,A,,,,,
ZZ-100C,GK6 DESUPERHEATER (LIQUID CRACKING FURNACE),DESUPERHEATER,21-CFU,A,,,,,
ZZ-100G,GK6 DESUPERHEATER (LIQUID CRACKING FURNACE),DESUPERHEATER,21-CFU,A,,,,,
P-1540A,BENZENE EXPORT PUMP,PUMP,29-TFU,B,,Benzene Feed Pump,CENTRIFUGAL(Horizontal),,
P-2050A,SCALE CONTROL PUMP FOR FURNACE,PUMP,20-CTU,,,,,,
P-249C,QW/PW PH CONTROL PUMP,PUMP,22-ORU,,,,,,
P-3074,FeCl3 to DAF PUMP,PUMP,20-CTU,,,,,,
S-1810,ACTIVATED CARBON ABSORBERS,CANISTER,29-TFU,,,,,,
SEJ-2200A,EJECTOR,EJECTOR,20-CTU,,,,,,
STR-1311B,STRAINER FOR P-1310A/B/C,STRAINER,29-TFU,B,,,,,
STR-1552,STRAINER FOR P-1550B,STRAINER,29-TFU,C,,,,,
STR-2210A,STRANER FOR P-2210A/B,STRAINER,20-CTU,C,,,,,
STR-2261B,STRAINER FOR P-2261A/B,STRAINER,20-CTU,C,,,,,
STR-40141,FW Strainer,STRAINER,20-CTU,,,,,,
STR-705AB,FG Strainer,STRAINER,22-ORU,,,,,,
STR-8802A,HC Strainer,STRAINER,24-ARU,,,,,,
ZZ-3074B,CARBON CANISTER AT F-3074,CANISTER,20-CTU,,,,,,
M-2800A,INSTRUMENT AIR DRYER,DRYER,20-CTU,A,,,,,
D-2050A,BOILER BLOWDOWN FLASH DRUM,DRUM,20-CTU,B,,BOILER BLOWDOWN FLASH DRUM,Vertical,7.14,300
D-2050C,BOILER BLOWDOWN FLASH DRUM,DRUM,20-CTU,B,,BOILER BLOWDOWN FLASH DRUM,Vertical,7.14,300
FA-2051A,SPENT CAUSTIC VENT GAS FLAME ARRESTOR,FLAME ARRESTOR,20-CTU,C,,SPENT CAUSTIC VENT GAS FLAME ARESTOR,Vertical,3.5,110.0
TK-1010B,NAPHTHA TANK,TANK,29-TFU,,,Naphtha,,,
TK-1210A,HP ETHYLENE SPHERICAL TANK,TANK,29-TFU,A,,HP Ethylene,,,
TK-1610A,CRACKER BOTTOM TANK,TANK,29-TFU,A,,Cracker Bottom,,,
TK-1610B,CRACKER BOTTOM TANK,TANK,29-TFU,,,Cracker Bottom,,,
Z-3301,RETURN SLUDGE BOX,MISCELLANEOUS ITEM,20-CTU,C,,,,,
ZZ-3011B,CARBON CANISTER AT PIT-3010,CANISTER,20-CTU,B,,,,,
ZZ-3060A,CARBON CANISTER AT HOLDING PIT,CANISTER,20-CTU,B,,,,,
PIT-3052,OIL SPILL WALL,PIT AND BASIN,20-CTU,C,,,,,
PIT-3060C,CW BLOWDOWN HOLDING BASIN,PIT AND BASIN,20-CTU,B,,,,,
PIT-3350,FILTER FEED PIT,PIT AND BASIN,20-CTU,C,,,,,
P-426B,DEMETHANIZER BOTTOMS PUMP,PUMP,22-ORU,A,,Demethanizer Bottoms Pump,"Centrifugal
(Vertical)",,
P-500A,DEETHANIZER REFLUX PUMP,PUMP,22-ORU,B,,Deethanizer Reflux Pump,Centrifugal,,
DG-5001,CCB 400V GENERATOR DIESEL ENGINE,DIESEL ENGINE,20-CTU,A,,,,,
F-201A,PURGE OIL FILTER,FILTER,22-ORU,,,Purge Oil Filter,Basket Type,170,31
STR-213A,QOD Strainer,STRAINER,22-ORU,,,,,,
STR-213B,QOD Strainer,STRAINER,22-ORU,,,,,,
F-252A,PYROLYSIS FUEL OIL DISCHARGE FILTER,FILTER,22-ORU,,,Pyrolysis Fuel Oil Discharge Filter,Basket Type,11 / 420,27
E-241A,DILUTION STEAM DRUM FEED HEATER,HEAT EXCHANGER,22-ORU,A,,Dilution Steam Drum Feed Heater,H-BES,,
P-325A,"CONDENSATE PUMP FOR E-325A,B",PUMP,22-ORU,C,,"Condensate Pump for E-325A,B",Centrifugal,,
P-521A,"CONDENSATE PUMP FOR E-521A,B",PUMP,22-ORU,C,,"Condensate Pump for E-521A,B",Centrifugal,,
R-521,ARSINE REMOVAL REACTOR,REACTOR,22-ORU,,,Arsine Removal Reactor,,"Normal :-45 / 130
 Regeneration : 535","Normal : 26.4
 Regeneration :3.5"
P-540B,C2 TOWER REFLUX PUMP,PUMP,22-ORU,A,,C2 Tower Reflux Pump,Centrifugal,,
STR-540D,HV Strainer,STRAINER,22-ORU,,,,,,
P-640A,C3 TOWER NO. 1 REFLUX PUMP,PUMP,22-ORU,B,,C3 Tower No. 1 Reflux Pump,Centrifugal,,
P-640D,C3 TOWER NO. 1 REFLUX PUMP,PUMP,22-ORU,B,,C3 Tower No. 1 Reflux Pump,Centrifugal,,
P-701A,RAW C4 PRODUCT PUMP,PUMP,22-ORU,B,,Raw C4 Product Pump,Centrifugal,,
P-705A,"CONDENSATE PUMP FOR E-705A,B",PUMP,22-ORU,C,,"Condensate Pump for E-705A,B",Centrifugal,,
C-835A,GHU-2 RECYCLE GAS COMPRESSOR,HYDROGEN COMPRESSOR,24-ARU,A,,GHU-2 Recycle Gas Compressor,reciprocating,,
Z-869,ANTIFORM INJECTION SYSTEM,MISCELLANEOUS ITEM,24-ARU,C,,Antiform Injection System,,,
